umap_n_neighbors,umap_n_components,umap_min_dist,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
5,10,0.0,50,5.0,leaf,0.0,170,0.4285941021490017,13502,51,54,563,0.017871313843126,0.0401866488905818,4.990484165261361,0.8580230454242452,ok,
5,10,0.0,50,5.0,leaf,0.05,170,0.4285941021490017,13502,51,54,563,0.017871313843126,0.0401866488905818,4.990484165261361,0.8580230454242452,ok,
5,10,0.0,50,5.0,leaf,0.1,168,0.412278195727391,12988,51,54,563,0.017871313843126,0.0463765355680411,4.953635767057971,0.8616798400152368,ok,
5,10,0.0,50,5.0,leaf,0.2,108,0.2437545630574865,7679,51,54,2852,0.0905310605339174,0.180363774878583,3.969026873668343,0.8636415579468621,ok,
5,10,0.0,50,10.0,eom,0.0,141,0.3836142589594641,12085,54,51,926,0.029394025965781,0.071739199441323,4.670513980606186,0.8617496746341617,ok,
5,10,0.0,50,10.0,eom,0.05,141,0.3836142589594641,12085,54,51,926,0.029394025965781,0.071739199441323,4.670513980606186,0.8617496746341617,ok,
5,10,0.0,50,10.0,eom,0.1,141,0.3836142589594641,12085,54,51,926,0.029394025965781,0.071739199441323,4.670513980606186,0.8617496746341617,ok,
5,10,0.0,50,10.0,eom,0.2,117,0.3069231501761737,9669,54,51,1722,0.0546614608132558,0.1363044789385138,4.236840126394072,0.8642637209154684,ok,
5,10,0.0,50,10.0,leaf,0.0,160,0.4622734342761007,14563,54,51,345,0.0109513379678125,0.0294892549915881,4.957983452519848,0.8521347173285085,ok,
5,10,0.0,50,10.0,leaf,0.05,160,0.4622734342761007,14563,54,51,345,0.0109513379678125,0.0294892549915881,4.957983452519848,0.8521347173285085,ok,
5,10,0.0,50,10.0,leaf,0.1,160,0.4622734342761007,14563,54,51,345,0.0109513379678125,0.0294892549915881,4.957983452519848,0.8521347173285085,ok,
5,10,0.0,50,10.0,leaf,0.2,120,0.3121924896041647,9835,54,51,1722,0.0546614608132558,0.1363044789385138,4.260269186579897,0.8626829190870711,ok,
5,10,0.0,50,15.0,eom,0.0,131,0.3952004570993239,12450,54,51,925,0.0293622829571786,0.0722153445703583,4.571032701763603,0.8581881090689776,ok,
5,10,0.0,50,15.0,eom,0.05,131,0.3952004570993239,12450,54,51,925,0.0293622829571786,0.0722153445703583,4.571032701763603,0.8581881090689776,ok,
5,10,0.0,50,15.0,eom,0.1,131,0.3952004570993239,12450,54,51,925,0.0293622829571786,0.0722153445703583,4.571032701763603,0.8581881090689776,ok,
5,10,0.0,50,15.0,eom,0.2,119,0.3551407802431514,11188,54,51,1347,0.0427578325873726,0.1043392692759419,4.350933487373959,0.8597625622956544,ok,
5,10,0.0,50,15.0,leaf,0.0,151,0.4687807510395835,14768,54,51,598,0.0189823191442084,0.046281306542234,4.852707790414712,0.8444148176364155,ok,
5,10,0.0,50,15.0,leaf,0.05,151,0.4687807510395835,14768,54,51,598,0.0189823191442084,0.046281306542234,4.852707790414712,0.8444148176364155,ok,
5,10,0.0,50,15.0,leaf,0.1,151,0.4687807510395835,14768,54,51,598,0.0189823191442084,0.046281306542234,4.852707790414712,0.8444148176364155,ok,
5,10,0.0,50,15.0,leaf,0.2,122,0.3653302860045075,11509,54,51,1347,0.0427578325873726,0.1003713932006475,4.37967291190334,0.8574992857823065,ok,
5,10,0.0,50,30.0,eom,0.0,109,0.427197409770498,13458,51,54,1118,0.0354886836174332,0.0913563787575786,4.316472479386863,0.8429228962321049,ok,
5,10,0.0,50,30.0,eom,0.05,109,0.427197409770498,13458,51,54,1118,0.0354886836174332,0.0913563787575786,4.316472479386863,0.8429228962321049,ok,
5,10,0.0,50,30.0,eom,0.1,109,0.427197409770498,13458,51,54,1118,0.0354886836174332,0.0913563787575786,4.316472479386863,0.8429228962321049,ok,
5,10,0.0,50,30.0,eom,0.2,107,0.4240548519188649,13359,51,54,1118,0.0354886836174332,0.0913563787575786,4.299527914170121,0.8438656635875947,ok,
5,10,0.0,50,30.0,leaf,0.0,126,0.517061867123766,16289,51,54,588,0.0186648890581849,0.0483446021013871,4.647704271961183,0.8296130527251373,ok,
5,10,0.0,50,30.0,leaf,0.05,126,0.517061867123766,16289,51,54,588,0.0186648890581849,0.0483446021013871,4.647704271961183,0.8296130527251373,ok,
5,10,0.0,50,30.0,leaf,0.1,126,0.517061867123766,16289,51,54,588,0.0186648890581849,0.0483446021013871,4.647704271961183,0.8296130527251373,ok,
5,10,0.0,50,30.0,leaf,0.2,116,0.4650985620417103,14652,51,54,834,0.0264736691743643,0.0673269212455956,4.447294914727681,0.8390629463860584,ok,
5,10,0.0,50,50.0,eom,0.0,78,0.3580928800431704,11281,51,54,2984,0.0947211376694283,0.200107926229248,3.636360516454952,0.8241342094403707,ok,
5,10,0.0,50,50.0,eom,0.05,78,0.3580928800431704,11281,51,54,2984,0.0947211376694283,0.200107926229248,3.636360516454952,0.8241342094403707,ok,
5,10,0.0,50,50.0,eom,0.1,78,0.3580928800431704,11281,51,54,2984,0.0947211376694283,0.200107926229248,3.636360516454952,0.8241342094403707,ok,
