stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
stability,5,5,0.0,cosine,42,75,5,eom,0.2,euclidean,31,0.2556418455915943,2798,75,76,856,0.07820922795797168,0.2023755139333029,0.9141542267657228,0.8593695751484696,ok,完成
stability,5,5,0.0,cosine,123,75,5,eom,0.2,euclidean,12,0.11228871630881682,1229,1740,91,5454,0.4983097304705345,0.7100959342165373,0.6140689801441048,0.5708012791228871,ok,完成
stability,5,5,0.0,cosine,2026,75,5,eom,0.2,euclidean,18,0.20831429876656007,2280,83,457,3022,0.27610781178620375,0.441662859753312,0.7864511900261645,0.7103407948835084,ok,完成
stability,5,5,0.0,cosine,3407,75,5,eom,0.2,euclidean,28,0.2740063956144358,2999,122,78,1123,0.102603928734582,0.23097304705344907,0.903750490685688,0.8408222932846048,ok,完成
stability,5,5,0.0,cosine,20240603,75,5,eom,0.2,euclidean,24,0.27053449063499313,2961,78,78,1026,0.09374143444495203,0.2204659661946094,0.9164054772385595,0.8386240292370946,ok,完成
stability,5,5,0.0,cosine,42,50,5,eom,0.0,euclidean,42,0.28761991777067153,3148,50,75,730,0.06669712197350389,0.1847418912745546,0.9186025704206143,0.8567565098218364,ok,完成
stability,5,5,0.0,cosine,123,50,5,eom,0.0,euclidean,43,0.31146642302421196,3409,73,74,1740,0.15897670169026953,0.24604842393787119,0.8578559553401499,0.8096573777980813,ok,完成
stability,5,5,0.0,cosine,2026,50,5,eom,0.0,euclidean,29,0.18446779351301965,2019,71,83,3022,0.27610781178620375,0.441662859753312,0.7427230480030734,0.7734947464595705,ok,完成
stability,5,5,0.0,cosine,3407,50,5,eom,0.0,euclidean,37,0.27446322521699407,3004,122,78,1123,0.102603928734582,0.207035175879397,0.898006773762171,0.8454728186386478,ok,完成
stability,5,5,0.0,cosine,20240603,50,5,eom,0.0,euclidean,39,0.3033348560986752,3320,78,78,614,0.056098675194152584,0.1613522156235724,0.9259053208610317,0.8598994974874372,ok,完成
