stage,umap_n_neighbors,umap_n_components,umap_min_dist,umap_metric,umap_random_state,hdbscan_min_cluster_size,hdbscan_min_samples,hdbscan_cluster_selection_method,hdbscan_cluster_selection_epsilon,hdbscan_metric,n_clusters,noise_ratio,topic_-1_count,topic_0_count,topic_1_count,largest_topic_count,largest_topic_ratio,top3_topic_ratio,topic_entropy,balance_score,status,note
stage2,5,5,0.05,cosine,42,50,5,leaf,0.1,euclidean,59,0.42421196893558705,4643,50,74,441,0.04029237094563728,0.09008679762448607,0.958789698434936,0.8426313385107356,ok,完成
stage2,5,5,0.05,cosine,42,50,5,leaf,0.2,euclidean,44,0.3325719506624029,3640,50,74,703,0.06423024211968936,0.15449977158519873,0.9248309738557843,0.8500593878483325,ok,完成
stage2,5,5,0.05,cosine,42,50,10,eom,0.0,euclidean,38,0.33878483325719505,3708,50,74,580,0.05299223389675651,0.146094106898127,0.9227991387557056,0.853248058474189,ok,完成
stage2,5,5,0.05,cosine,42,50,10,eom,0.05,euclidean,38,0.33878483325719505,3708,50,74,580,0.05299223389675651,0.146094106898127,0.9227991387557056,0.853248058474189,ok,完成
stage2,5,5,0.05,cosine,42,50,10,eom,0.1,euclidean,38,0.33878483325719505,3708,50,74,580,0.05299223389675651,0.146094106898127,0.9227991387557056,0.853248058474189,ok,完成
stage2,5,5,0.05,cosine,42,50,10,eom,0.2,euclidean,38,0.33878483325719505,3708,50,74,580,0.05299223389675651,0.146094106898127,0.9227991387557056,0.853248058474189,ok,完成
stage2,5,5,0.05,cosine,42,50,10,leaf,0.0,euclidean,52,0.5085427135678392,5566,50,74,260,0.02375513933302878,0.06295111923252626,0.9731070628433902,0.8277204202832344,ok,完成
stage2,5,5,0.05,cosine,42,50,10,leaf,0.05,euclidean,52,0.5085427135678392,5566,50,74,260,0.02375513933302878,0.06295111923252626,0.9731070628433902,0.8277204202832344,ok,完成
stage2,5,5,0.05,cosine,42,50,10,leaf,0.1,euclidean,52,0.5085427135678392,5566,50,74,260,0.02375513933302878,0.06295111923252626,0.9731070628433902,0.8277204202832344,ok,完成
stage2,5,5,0.05,cosine,42,50,10,leaf,0.2,euclidean,51,0.48652352672453175,5325,50,74,422,0.038556418455915946,0.08341708542713568,0.9627162684364284,0.8257925993604385,ok,完成
stage2,5,5,0.05,cosine,42,50,15,eom,0.0,euclidean,37,0.3760621288259479,4116,50,74,630,0.05756052992233897,0.1533120146185473,0.9231926869650099,0.8392507994518046,ok,完成
stage2,5,5,0.05,cosine,42,50,15,eom,0.05,euclidean,37,0.3760621288259479,4116,50,74,630,0.05756052992233897,0.1533120146185473,0.9231926869650099,0.8392507994518046,ok,完成
stage2,5,5,0.05,cosine,42,50,15,eom,0.1,euclidean,37,0.3760621288259479,4116,50,74,630,0.05756052992233897,0.1533120146185473,0.9231926869650099,0.8392507994518046,ok,完成
stage2,5,5,0.05,cosine,42,50,15,eom,0.2,euclidean,37,0.3760621288259479,4116,50,74,630,0.05756052992233897,0.1533120146185473,0.9231926869650099,0.8392507994518046,ok,完成
stage2,5,5,0.05,cosine,42,50,15,leaf,0.0,euclidean,46,0.5305619004111466,5807,50,74,386,0.03526724531749657,0.08378254910918227,0.9594102264795504,0.8134947464595705,ok,完成
stage2,5,5,0.05,cosine,42,50,15,leaf,0.05,euclidean,46,0.5305619004111466,5807,50,74,386,0.03526724531749657,0.08378254910918227,0.9594102264795504,0.8134947464595705,ok,完成
stage2,5,5,0.05,cosine,42,50,15,leaf,0.1,euclidean,46,0.5305619004111466,5807,50,74,386,0.03526724531749657,0.08378254910918227,0.9594102264795504,0.8134947464595705,ok,完成
stage2,5,5,0.05,cosine,42,50,15,leaf,0.2,euclidean,46,0.5305619004111466,5807,50,74,386,0.03526724531749657,0.08378254910918227,0.9594102264795504,0.8134947464595705,ok,完成
